category,month,count
Robbery,2015-01-01,4
Robbery,2015-02-01,1
Robbery,2015-04-01,1
Robbery,2015-05-01,2
Robbery,2015-06-01,1
Robbery,2015-07-01,3
Robbery,2015-08-01,1
Robbery,2015-09-01,1
Robbery,2015-10-01,6
Robbery,2015-11-01,1
Robbery,2015-12-01,3
Robbery,2016-01-01,8
Robbery,2016-02-01,1
Robbery,2016-03-01,1
Robbery,2016-04-01,3
Robbery,2016-05-01,7
Robbery,2016-06-01,4
Robbery,2016-07-01,6
Robbery,2016-08-01,5
Robbery,2016-09-01,1
Robbery,2016-10-01,5
Robbery,2016-11-01,7
Robbery,2016-12-01,9
Robbery,2017-01-01,8
Robbery,2017-02-01,5
Robbery,2017-04-01,1
Robbery,2017-05-01,5
Robbery,2017-06-01,4
Robbery,2017-07-01,3
Robbery,2017-08-01,3
Robbery,2017-09-01,6
Robbery,2017-10-01,3
Robbery,2017-11-01,1
Robbery,2017-12-01,6
Robbery,2018-01-01,4
Robbery,2018-02-01,5
Robbery,2018-03-01,4
Robbery,2018-04-01,3
Robbery,2018-05-01,3
Robbery,2018-07-01,6
Robbery,2018-09-01,1
Robbery,2018-10-01,2
Robbery,2018-11-01,1
Robbery,2018-12-01,3
Robbery,2019-01-01,1
Robbery,2019-02-01,2
Robbery,2019-03-01,5
Robbery,2019-04-01,3
Robbery,2019-05-01,1
Robbery,2019-06-01,6
Robbery,2019-07-01,5
Robbery,2019-08-01,1
Robbery,2019-09-01,4
Robbery,2019-10-01,1
Robbery,2019-12-01,3
Robbery,2020-01-01,5
Robbery,2020-02-01,1
Robbery,2020-04-01,4
Robbery,2020-05-01,3
Robbery,2020-06-01,1
Robbery,2020-09-01,2
Robbery,2020-10-01,1
Robbery,2020-12-01,1
Robbery,2021-02-01,3
Robbery,2021-03-01,1
Robbery,2021-04-01,1
Robbery,2021-05-01,1
Robbery,2021-06-01,2
Robbery,2021-07-01,1
Robbery,2021-08-01,3
Robbery,2021-09-01,2
Robbery,2021-10-01,3
Robbery,2021-11-01,6
Robbery,2021-12-01,1
Robbery,2022-01-01,2
Robbery,2022-02-01,1
Robbery,2022-03-01,1
Robbery,2022-05-01,1
Robbery,2022-06-01,2
Robbery,2022-07-01,1
Robbery,2022-10-01,1
Robbery,2022-11-01,6
Robbery,2022-12-01,2
Robbery,2023-02-01,4
Robbery,2023-03-01,2
Robbery,2023-04-01,3
Robbery,2023-07-01,2
Robbery,2023-08-01,2
Robbery,2023-09-01,1
Robbery,2023-10-01,1
Robbery,2023-11-01,2
Robbery,2023-12-01,3
Robbery,2024-01-01,2
