category,month,count
Larceny,2015-01-01,126
Larceny,2015-02-01,110
Larceny,2015-03-01,124
Larceny,2015-04-01,122
Larceny,2015-05-01,108
Larceny,2015-06-01,122
Larceny,2015-07-01,138
Larceny,2015-08-01,137
Larceny,2015-09-01,136
Larceny,2015-10-01,101
Larceny,2015-11-01,127
Larceny,2015-12-01,159
Larceny,2016-01-01,124
Larceny,2016-02-01,112
Larceny,2016-03-01,110
Larceny,2016-04-01,112
Larceny,2016-05-01,124
Larceny,2016-06-01,111
Larceny,2016-07-01,95
Larceny,2016-08-01,112
Larceny,2016-09-01,114
Larceny,2016-10-01,94
Larceny,2016-11-01,96
Larceny,2016-12-01,137
Larceny,2017-01-01,124
Larceny,2017-02-01,103
Larceny,2017-03-01,115
Larceny,2017-04-01,79
Larceny,2017-05-01,136
Larceny,2017-06-01,89
Larceny,2017-07-01,116
Larceny,2017-08-01,166
Larceny,2017-09-01,134
Larceny,2017-10-01,117
Larceny,2017-11-01,100
Larceny,2017-12-01,131
Larceny,2018-01-01,106
Larceny,2018-02-01,97
Larceny,2018-03-01,97
Larceny,2018-04-01,119
Larceny,2018-05-01,96
Larceny,2018-06-01,124
Larceny,2018-07-01,149
Larceny,2018-08-01,124
Larceny,2018-09-01,97
Larceny,2018-10-01,112
Larceny,2018-11-01,91
Larceny,2018-12-01,119
Larceny,2019-01-01,86
Larceny,2019-02-01,96
Larceny,2019-03-01,91
Larceny,2019-04-01,86
Larceny,2019-05-01,89
Larceny,2019-06-01,106
Larceny,2019-07-01,143
Larceny,2019-08-01,118
Larceny,2019-09-01,99
Larceny,2019-10-01,104
Larceny,2019-11-01,102
Larceny,2019-12-01,124
Larceny,2020-01-01,107
Larceny,2020-02-01,115
Larceny,2020-03-01,142
Larceny,2020-04-01,109
Larceny,2020-05-01,104
Larceny,2020-06-01,88
Larceny,2020-07-01,100
Larceny,2020-08-01,101
Larceny,2020-09-01,96
Larceny,2020-10-01,97
Larceny,2020-11-01,110
Larceny,2020-12-01,157
Larceny,2021-01-01,120
Larceny,2021-02-01,139
Larceny,2021-03-01,100
Larceny,2021-04-01,90
Larceny,2021-05-01,91
Larceny,2021-06-01,135
Larceny,2021-07-01,94
Larceny,2021-08-01,134
Larceny,2021-09-01,105
Larceny,2021-10-01,123
Larceny,2021-11-01,126
Larceny,2021-12-01,126
Larceny,2022-01-01,120
Larceny,2022-02-01,91
Larceny,2022-03-01,69
Larceny,2022-04-01,52
Larceny,2022-05-01,98
Larceny,2022-06-01,87
Larceny,2022-07-01,86
Larceny,2022-08-01,83
Larceny,2022-09-01,104
Larceny,2022-10-01,110
Larceny,2022-11-01,116
Larceny,2022-12-01,118
Larceny,2023-01-01,116
Larceny,2023-02-01,98
Larceny,2023-03-01,83
Larceny,2023-04-01,135
Larceny,2023-05-01,163
Larceny,2023-06-01,169
Larceny,2023-07-01,114
Larceny,2023-08-01,143
Larceny,2023-09-01,30
